正在读取文件...
add.txt 条目数: 513
modify.txt 条目数: 99

add.txt 中独有的条目（共 414 条）:
------------------------------------------------------------
U+e76c => 0xa2e3 | lookup=
U+f8f5 => 0x00ff | lookup=
U+f900 => 0xd84d | lookup=U+8c48
U+f901 => 0xb8fc | lookup=U+66f4
U+f902 => 0xdc87 | lookup=U+8eca
U+f903 => 0xd95a | lookup=U+8cc8
U+f904 => 0xbbac | lookup=U+6ed1
U+f905 => 0xb4ae | lookup=U+4e32
U+f906 => 0xbee4 | lookup=U+53e5
U+f907 => 0xfd94 | lookup=U+9f9c
U+f908 => 0xfd94 | lookup=U+9f9c
U+f909 => 0xc6f5 | lookup=U+5951
U+f90a => 0xbdf0 | lookup=U+91d1
U+f90b => 0xc0ae | lookup=U+5587
U+f90c => 0xc4ce | lookup=U+5948
U+f90d => 0x91d0 | lookup=U+61f6
U+f90e => 0xb05d | lookup=U+7669
U+f90f => 0xc15f | lookup=U+7f85
U+f910 => 0xcc7d | lookup=U+863f
U+f911 => 0xc2dd | lookup=U+87ba
U+f912 => 0xc2e3 | lookup=U+88f8
U+f913 => 0xdf89 | lookup=U+908f
U+f914 => 0x98b7 | lookup=U+6a02
U+f915 => 0xc2e5 | lookup=U+6d1b
U+f916 => 0xc0d3 | lookup=U+70d9
U+f917 => 0xe7f3 | lookup=U+73de
U+f918 => 0xc2e4 | lookup=U+843d
U+f919 => 0xc0d2 | lookup=U+916a
U+f91a => 0xf198 | lookup=U+99f1
U+f91b => 0x8179 | lookup=U+4e82
U+f91c => 0xc2d1 | lookup=U+5375
U+f91d => 0x99da | lookup=U+6b04
U+f91e => 0xa080 | lookup=U+721b
U+f91f => 0xcc6d | lookup=U+862d
U+f920 => 0xfb5b | lookup=U+9e1e
U+f921 => 0x8db9 | lookup=U+5d50
U+f922 => 0x9e45 | lookup=U+6feb
U+f923 => 0xcb7b | lookup=U+85cd
U+f924 => 0xd268 | lookup=U+8964
U+f925 => 0xc0ad | lookup=U+62c9
U+f926 => 0xc544 | lookup=U+81d8
U+f927 => 0xcf9e | lookup=U+881f
U+f928 => 0xc0c8 | lookup=U+5eca
U+f929 => 0xc0ca | lookup=U+6717
U+f92a => 0xc0cb | lookup=U+6d6a
U+f92b => 0xc0c7 | lookup=U+72fc
U+f92d => 0x81ed | lookup=U+4f86
U+f92e => 0xc0e4 | lookup=U+51b7
U+f92f => 0x84da | lookup=U+52de
U+f930 => 0x93ef | lookup=U+64c4
U+f931 => 0x99a9 | lookup=U+6ad3
U+f932 => 0xa074 | lookup=U+7210
U+f933 => 0xb152 | lookup=U+76e7
U+f934 => 0xc0cf | lookup=U+8001
U+f935 => 0xcc4a | lookup=U+8606
U+f936 => 0xcc94 | lookup=U+865c
U+f937 => 0xc2b7 | lookup=U+8def
U+f938 => 0xc2b6 | lookup=U+9732
U+f939 => 0xf494 | lookup=U+9b6f
U+f93a => 0xfa98 | lookup=U+9dfa
U+f93b => 0xc2b5 | lookup=U+788c
U+f93c => 0xb593 | lookup=U+797f
U+f93d => 0xbe47 | lookup=U+7da0
U+f93e => 0xc78a | lookup=U+83c9
U+f93f => 0xe49b | lookup=U+9304
U+f940 => 0xc2b9 | lookup=U+9e7f
U+f941 => 0xd593 | lookup=U+8ad6
U+f942 => 0x89c5 | lookup=U+58df
U+f943 => 0xc5aa | lookup=U+5f04
U+f944 => 0xbb5c | lookup=U+7c60
U+f945 => 0xc340 | lookup=U+807e
U+f946 => 0xc0ce | lookup=U+7262
U+f947 => 0xc0da | lookup=U+78ca
U+f948 => 0xd954 | lookup=U+8cc2
U+f949 => 0xc0d7 | lookup=U+96f7
U+f94a => 0x89be | lookup=U+58d8
U+f94b => 0x8cd2 | lookup=U+5c62
U+f94c => 0x98c7 | lookup=U+6a13
U+f94d => 0x9c49 | lookup=U+6dda
U+f94e => 0xc2a9 | lookup=U+6f0f
U+f94f => 0xc0db | lookup=U+7d2f
U+f950 => 0xbf7c | lookup=U+7e37
U+f951 => 0xc2aa | lookup=U+964b
U+f952 => 0xc0d5 | lookup=U+52d2
U+f953 => 0xc0df | lookup=U+808b
U+f954 => 0x8443 | lookup=U+51dc
U+f955 => 0xc1e8 | lookup=U+51cc
U+f956 => 0xb6a0 | lookup=U+7a1c
U+f957 => 0xbe63 | lookup=U+7dbe
U+f958 => 0xc1e2 | lookup=U+83f1
U+f959 => 0xc1ea | lookup=U+9675
U+f95a => 0xd778 | lookup=U+8b80
U+f95b => 0x9282 | lookup=U+62cf
U+f95c => 0x98b7 | lookup=U+6a02
U+f95d => 0xd65a | lookup=U+8afe
U+f95e => 0xb5a4 | lookup=U+4e39
U+f95f => 0x8c8e | lookup=U+5be7
U+f960 => 0xc5ad | lookup=U+6012
U+f961 => 0xc2ca | lookup=U+7387
U+f962 => 0xae90 | lookup=U+7570
U+f963 => 0xb1b1 | lookup=U+5317
U+f964 => 0xb491 | lookup=U+78fb
U+f965 => 0xb1e3 | lookup=U+4fbf
U+f966 => 0x8fcd | lookup=U+5fa9
U+f967 => 0xb2bb | lookup=U+4e0d
U+f968 => 0xc3da | lookup=U+6ccc
U+f969 => 0x94b5 | lookup=U+6578
U+f96a => 0xcbf7 | lookup=U+7d22
U+f96b => 0x85a2 | lookup=U+53c3
U+f96c => 0xc8fb | lookup=U+585e
U+f96d => 0xcaa1 | lookup=U+7701
U+f96e => 0xc87e | lookup=U+8449
U+f96f => 0xd566 | lookup=U+8aaa
U+f970 => 0x9aa2 | lookup=U+6bba
U+f971 => 0xb3bd | lookup=U+8fb0
U+f972 => 0xc9f2 | lookup=U+6c88
U+f973 => 0xcab0 | lookup=U+62fe
U+f974 => 0xc8f4 | lookup=U+82e5
U+f975 => 0xc2d3 | lookup=U+63a0
U+f976 => 0xc2d4 | lookup=U+7565
U+f977 => 0xc1c1 | lookup=U+4eae
U+f978 => 0x83c9 | lookup=U+5169
U+f97a => 0xc1ba | lookup=U+6881
U+f97b => 0xbc5a | lookup=U+7ce7
U+f97c => 0xc1bc | lookup=U+826f
U+f97d => 0xd58f | lookup=U+8ad2
U+f97e => 0xc1bf | lookup=U+91cf
U+f97f => 0x84ee | lookup=U+52f5
U+f980 => 0x85ce | lookup=U+5442
U+f981 => 0xc5ae | lookup=U+5973
U+f982 => 0x8f5d | lookup=U+5eec
U+f983 => 0xc2c3 | lookup=U+65c5
U+f984 => 0x9e56 | lookup=U+6ffe
U+f985 => 0xb55a | lookup=U+792a
U+f986 => 0xe982 | lookup=U+95ad
U+f987 => 0xf350 | lookup=U+9a6a
U+f988 => 0xfb90 | lookup=U+9e97
U+f989 => 0xc0e8 | lookup=U+9ece
U+f98a => 0xc1a6 | lookup=U+529b
U+f98b => 0x95d1 | lookup=U+66c6
U+f98c => 0x9a76 | lookup=U+6b77
U+f98d => 0xde5d | lookup=U+8f62
U+f98e => 0xc4ea | lookup=U+5e74
U+f98f => 0x917a | lookup=U+6190
U+f990 => 0x91d9 | lookup=U+6200
